Repository Name,Image URL,Stars,Contributors,Forks,Repo Commits,Language,SHA,Downloadable URL,Description,First Repo Commit Date,View Commits,View Contributors,First View Commit Date,Difference Between I View Commit and I Repo Commit
kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking,https://github.com/kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking/blob/main/photos/architectural_diagram.png,16,2,2,180,JavaScript,09f89d9f83be8a6c4a6664ba309cbde25fbdbad9,https://github.com/kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking/blob/main/photos/architectural_diagram.png?raw=true,,2021-06-21 19:07:36,1.0,1.0,2021-08-02 00:28:25,41.0
avarghesein/ActiveX.NET,https://github.com/avarghesein/ActiveX.NET/blob/master/ActiveX.NET.Architecture.jpg,17,1,9,35,C#,e1cda82f653cbbfb0638fd0570d5bf7519b221ef,https://github.com/avarghesein/ActiveX.NET/blob/master/ActiveX.NET.Architecture.jpg?raw=true,"A true Out-Of-Proc (EXE) COM server implemented in C# Windows Application based on MEF Plugin Architecture. Develop COM objects in C# Libraries, which automatically get hosted in EXE COM Server, with minimal configuration.",2017-10-21 05:47:33,2.0,1.0,2017-10-21 05:55:16,0.0
leekoko/Java-Web,https://github.com/leekoko/Java-Web/blob/master/SourceCode/adaptive-loadbalance/loadbalance/assets/dubbo_architecture.png,16,1,4,263,Java,70cebc9c5830b97d4d2f7771ac750cc5107703d4,https://github.com/leekoko/Java-Web/blob/master/SourceCode/adaptive-loadbalance/loadbalance/assets/dubbo_architecture.png?raw=true,:fire:整理一套java web知识体系，从java入门到框架应用等,2017-05-29 14:20:16,1.0,1.0,2019-08-08 03:57:29,800.0
oracle-quickstart/oci-jenkins,https://github.com/oracle-quickstart/oci-jenkins/blob/master/images/architecture.png,6,6,14,104,HCL,25cc3f75c305eb51ac1f1cf012139a7adafcc9da,https://github.com/oracle-quickstart/oci-jenkins/blob/master/images/architecture.png?raw=true,Terraform module to deploy Jenkins on Oracle Cloud Infrastructure (OCI),2018-04-18 17:34:39,2.0,2.0,2019-05-20 21:07:36,397.0
Neighbor-Army/help-with-covid,https://github.com/neighbor-army/help-with-covid/blob/develop/docs/images/architecture-2.png,11,11,8,216,JavaScript,5fb290be57eb8e8fefc397d694d417573e26957b,https://github.com/neighbor-army/help-with-covid/blob/develop/docs/images/architecture-2.png?raw=true,,2020-03-20 00:44:02,1.0,1.0,2020-03-21 05:59:44,1.0
GoogleCloudPlatform/gke-pubsub-websocket-adapter,https://github.com/GoogleCloudPlatform/gke-pubsub-websocket-adapter/blob/main/architecture.svg,26,2,12,20,Dockerfile,f0b36ea794cf1dd722d3137c12a20fadd734549d,https://github.com/GoogleCloudPlatform/gke-pubsub-websocket-adapter/blob/main/architecture.svg?raw=true,Consume Pub/Sub over Websockets,2020-10-10 17:38:23,1.0,1.0,2020-10-10 17:43:09,0.0
hojat72elect/GameHub,https://github.com/hojat72elect/GameHub/blob/main/docs/architecture.png,11,2,6,934,Kotlin,e6c71896858b4cfa848c770897e3956aebbd8f17,https://github.com/hojat72elect/GameHub/blob/main/docs/architecture.png?raw=true,An Android application for browsing video games and checking the latest gaming news from around the world.,2020-08-20 15:31:21,1.0,1.0,2023-08-30 16:57:19,1105.0
pagopa/pn-infra,https://github.com/pagopa/pn-infra/blob/develop/scripts/rest-api-cognito/architecture-cognito.png,2,18,1,1585,Shell,75eb4d2aafbcff78ea0e09d00c2dcd5fb08b278c,https://github.com/pagopa/pn-infra/blob/develop/scripts/rest-api-cognito/architecture-cognito.png?raw=true,,2021-06-11 08:59:03,1.0,1.0,2022-11-28 07:07:49,534.0
fabriq-labs/fabriq-platform,https://storage.googleapis.com/fabirq_static_asset/images/fabriq-architecture.png,6,5,0,76,JavaScript,16a8b31ebf2154abd46ae198c2944211392d8f6f,https://storage.googleapis.com/fabirq_static_asset/images/fabriq-architecture.png,fabriq is an open-source content analytics platform developed by fabriq-labs that is built on Modern Data Stack,2023-07-11 12:07:42,,,,
chrispiro/deploy_plotly_app_on_gcp,https://github.com/chrispiro/deploy_plotly_app_on_gcp/blob/main/assets/architecture.png,2,1,0,10,Python,48b1952441737fac44ab8a50672c26db2c0f9281,https://github.com/chrispiro/deploy_plotly_app_on_gcp/blob/main/assets/architecture.png?raw=true,,2022-08-29 14:45:36,1.0,1.0,2022-10-20 11:55:50,51.0
ashavijit/Face-Find,https://github.com/ashavijit/Face-Find/blob/main/screenshots/diagrams/business_architecture.png,5,1,0,24,HTML,8bcab7f0f63fba265c599dfc5a9e008e686302a6,https://github.com/ashavijit/Face-Find/blob/main/screenshots/diagrams/business_architecture.png?raw=true,,2022-09-11 08:23:33,1.0,1.0,2022-09-11 08:53:58,0.0
Activiti/activiti-7-developers-guide,https://github.com/Activiti/activiti-7-developers-guide/blob/master/.gitbook/assets/activiti-cloud-architecture.png,158,22,106,543,,f9ecb726e777b3f5991005dc6efd0dff00ce1320,https://github.com/Activiti/activiti-7-developers-guide/blob/master/.gitbook/assets/activiti-cloud-architecture.png?raw=true,https://activiti.gitbook.io/activiti-7-developers-guide/,2016-07-04 08:52:59,3.0,2.0,2019-03-14 12:06:32,983.0
cordon-thiago/airflow-spark,https://github.com/cordon-thiago/airflow-spark/blob/master/doc/architecture.png,189,2,114,49,Python,4c8a350291ce2f07159a8ff560cd1e372b5d3711,https://github.com/cordon-thiago/airflow-spark/blob/master/doc/architecture.png?raw=true,Docker with Airflow and Spark standalone cluster,2020-04-10 10:21:14,1.0,1.0,2020-05-01 15:35:43,21.0
IBM/torc_py,https://github.com/IBM/torc_py/blob/master/doc/torc_architecture.png,16,3,11,23,Python,f259f870dfe15b35fa1c4101fa0242a1149d001b,https://github.com/IBM/torc_py/blob/master/doc/torc_architecture.png?raw=true,torcpy is a platform-agnostic adaptive load balancing library that orchestrates the scheduling of task parallelism on both shared and distributed memory platforms.,2019-10-15 15:27:31,2.0,2.0,2019-10-18 00:13:07,2.0
kansiris/Angular-Interview-Questions-Answers,https://github.com/kansiris/Angular-Interview-Questions-Answers/blob/master/images/architecture.png,4,1,3,13,,8957ebc509c64a6ddf5d325cc419d39994bf4b4c,https://github.com/kansiris/Angular-Interview-Questions-Answers/blob/master/images/architecture.png?raw=true,List of top 500 Angular Interview Questions and Answers,2019-09-26 07:37:55,1.0,1.0,2019-09-26 07:37:55,0.0
SimonLdj/hypnolog-server,https://github.com/SimonLdj/hypnolog-server/blob/master/doc/images/hypnolog-architecture.png,8,3,1,126,JavaScript,174e87a0f075d5ff77371fdbd78b96337b9b4b77,https://github.com/SimonLdj/hypnolog-server/blob/master/doc/images/hypnolog-architecture.png?raw=true,Debug logging/printing tool with visualization for any language,2016-03-23 21:54:08,1.0,1.0,2018-04-27 13:56:49,764.0
chaitin/veinmind-tools,https://github.com/chaitin/veinmind-tools/blob/master/docs/architecture.png,1372,11,169,370,Go,18b392c7f4985625ef0e240800ac839219ff630c,https://github.com/chaitin/veinmind-tools/blob/master/docs/architecture.png?raw=true,veinmind-tools 是由长亭科技自研，基于 veinmind-sdk 打造的容器安全工具集,2022-02-08 08:12:16,1.0,1.0,2022-11-18 06:45:11,282.0
IceFireDB/IceFireDB,https://github.com/IceFireDB/IceFireDB/blob/main/imgs/Application_architecture_based_on_IceFireDB.png,1039,11,71,1252,Go,a87226af0f73b2d8078a49fabf7d53c737efde44,https://github.com/IceFireDB/IceFireDB/blob/main/imgs/Application_architecture_based_on_IceFireDB.png?raw=true,"@IceFireLabs -> IceFireDB is a database built for web3.0 It strives to fill the gap between web2 and web3.0 with a friendly database experience, making web3 application data storage more convenient, and making it easier for web2 applications to achieve decentralization and data immutability. ",2021-03-05 06:03:30,1.0,1.0,2023-09-04 13:42:23,913.0
andrempmattos/harsh-payload,https://github.com/andrempmattos/harsh-payload/blob/master/documentation/diagrams/system_architecture.png,10,1,2,312,VHDL,dafb3302cd624e619023a5b517e803944e4cb5b5,https://github.com/andrempmattos/harsh-payload/blob/master/documentation/diagrams/system_architecture.png?raw=true,Harsh Environment CubeSat Payload designed to evaluate three different manufacturing nodes SDR SDRAM technologies under space radiation conditions. It was developed for the FloripaSat-2 CubeSat mission.,2020-03-24 08:36:44,1.0,1.0,2020-06-01 12:47:48,69.0
ebu/PlugIt,https://github.com/ebu/PlugIt/blob/master/docs/images/architecture_overview.png,5,7,2,269,Python,de5f1e870f67caaef7a4a58e4bb1ed54d9c5dc53,https://github.com/ebu/PlugIt/blob/master/docs/images/architecture_overview.png?raw=true,PlugIt is a framework enhancing the portability and integration of web services requiring a user interface. The framework enables fast creation and integration of micro-services.,2013-07-03 08:29:19,1.0,1.0,2016-04-20 11:28:29,1022.0
